1	script	undefined
1	warp	undefined
1	warp2	undefined
1	shop	undefined
1	cashshop	undefined
1	OnPCDieEvent	Executed when PC becomes dead.
1	OnPCKillEvent	Executed when PC kills another PC. Some skills may not invoke this.
1	OnNPCKillEvent	undefined
1	OnPCLoginEvent	Executed when PC logs in
1	OnPCLogoutEvent	Executed when PC logs out
1	OnPCLoadMapEvent	Executed when PC loads specified map (only if map 'loadevent' mapflag is specified)
1	OnPCLoadNPCMapEvent	Executed when PC loads NPC map
1	OnPCBaseLvUpEvent	Executed on base level up
1	OnPCJobLvUpEvent	Executed on Job level up
1	OnTouch_	Executed when PC touches NPC area
1	OnTouch	Executed when PC touches NPC area but only if NPC is not busy with another PC
1	OnTouchNPC	When mob comes into OnTouch area
1	OnInit	When script loads/reloads
1	OnInstanceInit	(need IIF_INITINSTANCENPC)
0	failedremovecards	i arg1, i arg2	failedremovecards(${1:i_arg1}, ${2:i_arg2})$0
0	marriage	s arg1	marriage(${1:s_arg1})$0
0	wedding
0	divorce	? arg1	divorce(${1:?_arg1})$0
0	ispartneron	? arg1	ispartneron(${1:?_arg1})$0
0	getpartnerid	? arg1	getpartnerid(${1:?_arg1})$0
0	getchildid	? arg1	getchildid(${1:?_arg1})$0
0	getmotherid	? arg1	getmotherid(${1:?_arg1})$0
0	getfatherid	? arg1	getfatherid(${1:?_arg1})$0
0	warppartner	s arg1, i arg2, i arg3	warppartner(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	getitemname	v arg1	getitemname(${1:v_arg1})$0
0	getitemslots	i arg1	getitemslots(${1:i_arg1})$0
0	makepet	i arg1	makepet(${1:i_arg1})$0
0	getexp	i arg1, i arg2, ? arg3	getexp(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	getinventorylist	? arg1	getinventorylist(${1:?_arg1})$0
0	getskilllist	? arg1	getskilllist(${1:?_arg1})$0
0	clearitem	? arg1	clearitem(${1:?_arg1})$0
0	classchange	i arg1, ? arg2, ? arg3	classchange(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	misceffect	i arg1	misceffect(${1:i_arg1})$0
0	playBGM	s arg1	playBGM(${1:s_arg1})$0
0	playBGMall	s arg1, ? arg2, ? arg3, ? arg4, ? arg5, ? arg6	playBGMall(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	soundeffect	s arg1, i arg2	soundeffect(${1:s_arg1}, ${2:i_arg2})$0
0	soundeffectall	s arg1, i arg2, ? arg3, ? arg4, ? arg5, ? arg6, ? arg7	soundeffectall(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	strmobinfo	i arg1, i arg2	strmobinfo(${1:i_arg1}, ${2:i_arg2})$0
0	guardian	s arg1, i arg2, i arg3, s arg4, i arg5, ? arg6, ? arg7	guardian(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:s_arg4}, ${5:i_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	guardianinfo	s arg1, i arg2, i arg3	guardianinfo(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	petskillbonus	i arg1, i arg2, i arg3, i arg4	petskillbonus(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	petrecovery	i arg1, i arg2	petrecovery(${1:i_arg1}, ${2:i_arg2})$0
0	petloot	i arg1	petloot(${1:i_arg1})$0
0	petskillattack	v arg1, i arg2, i arg3, i arg4	petskillattack(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	petskillattack2	v arg1, i arg2, i arg3, i arg4, i arg5	petskillattack2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5})$0
0	petskillsupport	v arg1, i arg2, i arg3, i arg4, i arg5	petskillsupport(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5})$0
0	skilleffect	v arg1, i arg2	skilleffect(${1:v_arg1}, ${2:i_arg2})$0
0	npcskilleffect	v arg1, i arg2, i arg3, i arg4	npcskilleffect(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	specialeffect	i arg1, ? arg2, ? arg3	specialeffect(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	specialeffect2	i arg1, ? arg2, ? arg3	specialeffect2(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	nude	? arg1	nude(${1:?_arg1})$0
0	mapwarp	s arg1, s arg2, i arg3, i arg4, ? arg5, ? arg6	mapwarp(${1:s_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	atcommand	s arg1	atcommand(${1:s_arg1})$0
0	charcommand	s arg1	charcommand(${1:s_arg1})$0
0	movenpc	s arg1, i arg2, i arg3, ? arg4	movenpc(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	message	s arg1, s arg2	message(${1:s_arg1}, ${2:s_arg2})$0
0	npctalk	s arg1, ? arg2, ? arg3	npctalk(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	chatmes	s arg1, ? arg2	chatmes(${1:s_arg1}, ${2:?_arg2})$0
0	mobcount	s arg1, s arg2	mobcount(${1:s_arg1}, ${2:s_arg2})$0
0	getlook	i arg1, ? arg2	getlook(${1:i_arg1}, ${2:?_arg2})$0
0	getsavepoint	i arg1, ? arg2	getsavepoint(${1:i_arg1}, ${2:?_arg2})$0
0	npcspeed	i arg1	npcspeed(${1:i_arg1})$0
0	npcwalkto	i arg1, i arg2	npcwalkto(${1:i_arg1}, ${2:i_arg2})$0
0	npcstop
0	getmapxy	r arg1, r arg2, r arg3, ? arg4, ? arg5	getmapxy(${1:r_arg1}, ${2:r_arg2}, ${3:r_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	mapid2name	i arg1	mapid2name(${1:i_arg1})$0
0	checkoption1	i arg1, ? arg2	checkoption1(${1:i_arg1}, ${2:?_arg2})$0
0	checkoption2	i arg1, ? arg2	checkoption2(${1:i_arg1}, ${2:?_arg2})$0
0	guildgetexp	i arg1	guildgetexp(${1:i_arg1})$0
0	guildchangegm	i arg1, s arg2	guildchangegm(${1:i_arg1}, ${2:s_arg2})$0
0	logmes	s arg1	logmes(${1:s_arg1})$0
0	summon	s arg1, i arg2, ? arg3, ? arg4	summon(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	isnight
0	isday
0	isequipped	i arg1, * arg2	isequipped(${1:i_arg1}, ${2:*_arg2})$0
0	isequippedcnt	i arg1, * arg2	isequippedcnt(${1:i_arg1}, ${2:*_arg2})$0
0	cardscnt	i arg1, * arg2	cardscnt(${1:i_arg1}, ${2:*_arg2})$0
0	getrefine
0	night
0	day
0	defpattern	i arg1, s arg2, s arg3	defpattern(${1:i_arg1}, ${2:s_arg2}, ${3:s_arg3})$0
0	activatepset	i arg1	activatepset(${1:i_arg1})$0
0	deactivatepset	i arg1	deactivatepset(${1:i_arg1})$0
0	deletepset	i arg1	deletepset(${1:i_arg1})$0
0	preg_match	s arg1, s arg2, ? arg3	preg_match(${1:s_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	dispbottom	s arg1, ? arg2, ? arg3	dispbottom(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	recovery	i arg1, ? arg2, ? arg3, ? arg4	recovery(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	getpetinfo	i arg1, ? arg2	getpetinfo(${1:i_arg1}, ${2:?_arg2})$0
0	gethominfo	i arg1, ? arg2	gethominfo(${1:i_arg1}, ${2:?_arg2})$0
0	getmercinfo	i arg1, ? arg2	getmercinfo(${1:i_arg1}, ${2:?_arg2})$0
0	checkequipedcard	i arg1	checkequipedcard(${1:i_arg1})$0
0	jump_zero	i arg1, l arg2	jump_zero(${1:i_arg1}, ${2:l_arg2})$0
0	globalmes	s arg1, ? arg2	globalmes(${1:s_arg1}, ${2:?_arg2})$0
0	unequip	i arg1, ? arg2	unequip(${1:i_arg1}, ${2:?_arg2})$0
0	getstrlen	s arg1	getstrlen(${1:s_arg1})$0
0	charisalpha	s arg1, i arg2	charisalpha(${1:s_arg1}, ${2:i_arg2})$0
0	charat	s arg1, i arg2	charat(${1:s_arg1}, ${2:i_arg2})$0
0	setchar	s arg1, s arg2, i arg3	setchar(${1:s_arg1}, ${2:s_arg2}, ${3:i_arg3})$0
0	insertchar	s arg1, s arg2, i arg3	insertchar(${1:s_arg1}, ${2:s_arg2}, ${3:i_arg3})$0
0	delchar	s arg1, i arg2	delchar(${1:s_arg1}, ${2:i_arg2})$0
0	strtoupper	s arg1	strtoupper(${1:s_arg1})$0
0	strtolower	s arg1	strtolower(${1:s_arg1})$0
0	charisupper	s arg1, i arg2	charisupper(${1:s_arg1}, ${2:i_arg2})$0
0	charislower	s arg1, i arg2	charislower(${1:s_arg1}, ${2:i_arg2})$0
0	substr	s arg1, i arg2, i arg3	substr(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	explode	r arg1, s arg2, s arg3	explode(${1:r_arg1}, ${2:s_arg2}, ${3:s_arg3})$0
0	implode	r arg1, ? arg2	implode(${1:r_arg1}, ${2:?_arg2})$0
0	sprintf	s arg1, * arg2	sprintf(${1:s_arg1}, ${2:*_arg2})$0
0	sscanf	s arg1, s arg2, * arg3	sscanf(${1:s_arg1}, ${2:s_arg2}, ${3:*_arg3})$0
0	strpos	s arg1, s arg2, ? arg3	strpos(${1:s_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	replacestr	s arg1, s arg2, s arg3, ? arg4, ? arg5	replacestr(${1:s_arg1}, ${2:s_arg2}, ${3:s_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	countstr	s arg1, s arg2, ? arg3	countstr(${1:s_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	setnpcdisplay	s arg1, v arg2, ? arg3, ? arg4	setnpcdisplay(${1:s_arg1}, ${2:v_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	compare	s arg1, s arg2	compare(${1:s_arg1}, ${2:s_arg2})$0
0	strcmp	s arg1, s arg2	strcmp(${1:s_arg1}, ${2:s_arg2})$0
0	getiteminfo	i arg1, i arg2	getiteminfo(${1:i_arg1}, ${2:i_arg2})$0
0	setiteminfo	i arg1, i arg2, i arg3	setiteminfo(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	getequipcardid	i arg1, i arg2	getequipcardid(${1:i_arg1}, ${2:i_arg2})$0
0	sqrt	i arg1	sqrt(${1:i_arg1})$0
0	pow	i arg1, i arg2	pow(${1:i_arg1}, ${2:i_arg2})$0
0	distance	i arg1, i arg2, i arg3, i arg4	distance(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	min	* arg1	min(${1:*_arg1})$0
0	minimum	* arg1	minimum(${1:*_arg1})$0
0	max	* arg1	max(${1:*_arg1})$0
0	maximum	* arg1	maximum(${1:*_arg1})$0
0	md5	s arg1	md5(${1:s_arg1})$0
0	getd	s arg1	getd(${1:s_arg1})$0
0	setd	s arg1, v arg2, ? arg3	setd(${1:s_arg1}, ${2:v_arg2}, ${3:?_arg3})$0
0	callshop	s arg1, ? arg2	callshop(${1:s_arg1}, ${2:?_arg2})$0
0	npcshopitem	s arg1, i arg2, i arg3, * arg4	npcshopitem(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:*_arg4})$0
0	npcshopadditem	s arg1, i arg2, i arg3, * arg4	npcshopadditem(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:*_arg4})$0
0	npcshopdelitem	s arg1, i arg2, * arg3	npcshopdelitem(${1:s_arg1}, ${2:i_arg2}, ${3:*_arg3})$0
0	npcshopattach	s arg1, ? arg2	npcshopattach(${1:s_arg1}, ${2:?_arg2})$0
0	equip	i arg1, ? arg2	equip(${1:i_arg1}, ${2:?_arg2})$0
0	autoequip	i arg1, i arg2	autoequip(${1:i_arg1}, ${2:i_arg2})$0
0	setbattleflag	s arg1, i arg2, ? arg3	setbattleflag(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	getbattleflag	s arg1	getbattleflag(${1:s_arg1})$0
0	setitemscript	i arg1, s arg2, ? arg3	setitemscript(${1:i_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	disguise	i arg1, ? arg2	disguise(${1:i_arg1}, ${2:?_arg2})$0
0	undisguise	? arg1	undisguise(${1:?_arg1})$0
0	getmonsterinfo	i arg1, i arg2	getmonsterinfo(${1:i_arg1}, ${2:i_arg2})$0
0	addmonsterdrop	v arg1, i arg2, i arg3	addmonsterdrop(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	delmonsterdrop	v arg1, i arg2	delmonsterdrop(${1:v_arg1}, ${2:i_arg2})$0
0	axtoi	s arg1	axtoi(${1:s_arg1})$0
0	query_sql	s arg1, * arg2	query_sql(${1:s_arg1}, ${2:*_arg2})$0
0	query_logsql	s arg1, * arg2	query_logsql(${1:s_arg1}, ${2:*_arg2})$0
0	escape_sql	v arg1	escape_sql(${1:v_arg1})$0
0	atoi	s arg1	atoi(${1:s_arg1})$0
0	strtol	s arg1, i arg2	strtol(${1:s_arg1}, ${2:i_arg2})$0
0	rid2name	i arg1	rid2name(${1:i_arg1})$0
0	pcfollow	i arg1, i arg2	pcfollow(${1:i_arg1}, ${2:i_arg2})$0
0	pcstopfollow	i arg1	pcstopfollow(${1:i_arg1})$0
0	pcblockmove	i arg1, i arg2	pcblockmove(${1:i_arg1}, ${2:i_arg2})$0
0	unitblockmove	i arg1, i arg2	unitblockmove(${1:i_arg1}, ${2:i_arg2})$0
0	pcblockskill	i arg1, i arg2	pcblockskill(${1:i_arg1}, ${2:i_arg2})$0
0	unitblockskill	i arg1, i arg2	unitblockskill(${1:i_arg1}, ${2:i_arg2})$0
0	setpcblock	i arg1, i arg2, ? arg3	setpcblock(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	getpcblock	? arg1	getpcblock(${1:?_arg1})$0
0	unitexists	i arg1	unitexists(${1:i_arg1})$0
0	getunittype	i arg1	getunittype(${1:i_arg1})$0
0	getunitname	i arg1	getunitname(${1:i_arg1})$0
0	setunitname	i arg1, s arg2	setunitname(${1:i_arg1}, ${2:s_arg2})$0
0	getunitdata	i arg1, * arg2	getunitdata(${1:i_arg1}, ${2:*_arg2})$0
0	setunitdata	i arg1, i arg2, i arg3	setunitdata(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	unitwalk	i arg1, i arg2, i arg3, ? arg4	unitwalk(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	unitwalkto	i arg1, i arg2, ? arg3	unitwalkto(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	unitkill	i arg1	unitkill(${1:i_arg1})$0
0	unitwarp	i arg1, s arg2, i arg3, i arg4	unitwarp(${1:i_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	unitattack	i arg1, v arg2, ? arg3	unitattack(${1:i_arg1}, ${2:v_arg2}, ${3:?_arg3})$0
0	unitstopattack	i arg1	unitstopattack(${1:i_arg1})$0
0	unitstopwalk	i arg1, ? arg2	unitstopwalk(${1:i_arg1}, ${2:?_arg2})$0
0	unittalk	i arg1, s arg2, ? arg3	unittalk(${1:i_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	unitskilluseid	i arg1, v arg2, i arg3, ? arg4, ? arg5	unitskilluseid(${1:i_arg1}, ${2:v_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	unitskillusepos	i arg1, v arg2, i arg3, i arg4, i arg5, ? arg6	unitskillusepos(${1:i_arg1}, ${2:v_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:?_arg6})$0
0	sleep	i arg1	sleep(${1:i_arg1})$0
0	sleep2	i arg1	sleep2(${1:i_arg1})$0
0	awake	s arg1	awake(${1:s_arg1})$0
0	getvariableofnpc	r arg1, s arg2	getvariableofnpc(${1:r_arg1}, ${2:s_arg2})$0
0	warpportal	i arg1, i arg2, s arg3, i arg4, i arg5	warpportal(${1:i_arg1}, ${2:i_arg2}, ${3:s_arg3}, ${4:i_arg4}, ${5:i_arg5})$0
0	homevolution
0	hommutate	? arg1	hommutate(${1:?_arg1})$0
0	morphembryo
0	homshuffle
0	checkhomcall
0	eaclass	? arg1, ? arg2	eaclass(${1:?_arg1}, ${2:?_arg2})$0
0	roclass	i arg1, ? arg2	roclass(${1:i_arg1}, ${2:?_arg2})$0
0	checkvending	? arg1	checkvending(${1:?_arg1})$0
0	checkchatting	? arg1	checkchatting(${1:?_arg1})$0
0	checkidle	? arg1	checkidle(${1:?_arg1})$0
0	openmail	? arg1	openmail(${1:?_arg1})$0
0	openauction	? arg1	openauction(${1:?_arg1})$0
0	checkcell	s arg1, i arg2, i arg3, i arg4	checkcell(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	setcell	s arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7	setcell(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7})$0
0	getfreecell	s arg1, r arg2, r arg3, ? arg4, ? arg5, ? arg6, ? arg7, ? arg8	getfreecell(${1:s_arg1}, ${2:r_arg2}, ${3:r_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7}, ${8:?_arg8})$0
0	setwall	s arg1, i arg2, i arg3, i arg4, i arg5, i arg6, s arg7	setwall(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:s_arg7})$0
0	delwall	s arg1	delwall(${1:s_arg1})$0
0	checkwall	s arg1	checkwall(${1:s_arg1})$0
0	searchitem	r arg1, s arg2	searchitem(${1:r_arg1}, ${2:s_arg2})$0
0	mercenary_create	i arg1, i arg2	mercenary_create(${1:i_arg1}, ${2:i_arg2})$0
0	mercenary_heal	i arg1, i arg2	mercenary_heal(${1:i_arg1}, ${2:i_arg2})$0
0	mercenary_sc_start	i arg1, i arg2, i arg3	mercenary_sc_start(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	mercenary_get_calls	i arg1	mercenary_get_calls(${1:i_arg1})$0
0	mercenary_get_faith	i arg1	mercenary_get_faith(${1:i_arg1})$0
0	mercenary_set_calls	i arg1, i arg2	mercenary_set_calls(${1:i_arg1}, ${2:i_arg2})$0
0	mercenary_set_faith	i arg1, i arg2	mercenary_set_faith(${1:i_arg1}, ${2:i_arg2})$0
0	readbook	i arg1, i arg2	readbook(${1:i_arg1}, ${2:i_arg2})$0
0	setfont	i arg1	setfont(${1:i_arg1})$0
0	areamobuseskill	s arg1, i arg2, i arg3, i arg4, i arg5, v arg6, i arg7, i arg8, i arg9, i arg10, i arg11	areamobuseskill(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:v_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:i_arg10}, ${11:i_arg11})$0
0	progressbar	s arg1, i arg2	progressbar(${1:s_arg1}, ${2:i_arg2})$0
0	progressbar_npc	s arg1, i arg2, ? arg3	progressbar_npc(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	pushpc	i arg1, i arg2	pushpc(${1:i_arg1}, ${2:i_arg2})$0
0	buyingstore	i arg1	buyingstore(${1:i_arg1})$0
0	searchstores	i arg1, i arg2	searchstores(${1:i_arg1}, ${2:i_arg2})$0
0	showdigit	i arg1, ? arg2	showdigit(${1:i_arg1}, ${2:?_arg2})$0
0	agitstart2
0	agitend2
0	agitcheck2
0	waitingroom2bg	s arg1, i arg2, i arg3, ? arg4, ? arg5, ? arg6	waitingroom2bg(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	waitingroom2bg_single	i arg1, ? arg2, ? arg3, ? arg4, ? arg5	waitingroom2bg_single(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	bg_team_setxy	i arg1, i arg2, i arg3	bg_team_setxy(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	bg_warp	i arg1, s arg2, i arg3, i arg4	bg_warp(${1:i_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	bg_monster	i arg1, s arg2, i arg3, i arg4, s arg5, i arg6, ? arg7	bg_monster(${1:i_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:s_arg5}, ${6:i_arg6}, ${7:?_arg7})$0
0	bg_monster_set_team	i arg1, i arg2	bg_monster_set_team(${1:i_arg1}, ${2:i_arg2})$0
0	bg_leave	? arg1	bg_leave(${1:?_arg1})$0
0	bg_destroy	i arg1	bg_destroy(${1:i_arg1})$0
0	areapercentheal	s arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7	areapercentheal(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7})$0
0	bg_get_data	i arg1, i arg2	bg_get_data(${1:i_arg1}, ${2:i_arg2})$0
0	bg_getareausers	i arg1, s arg2, i arg3, i arg4, i arg5, i arg6	bg_getareausers(${1:i_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6})$0
0	bg_updatescore	s arg1, i arg2, i arg3	bg_updatescore(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	bg_join	i arg1, ? arg2, ? arg3, ? arg4, ? arg5	bg_join(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	bg_create	s arg1, i arg2, i arg3, ? arg4, ? arg5	bg_create(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	instance_create	s arg1, ? arg2, ? arg3	instance_create(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	instance_destroy	? arg1	instance_destroy(${1:?_arg1})$0
0	instance_id	? arg1	instance_id(${1:?_arg1})$0
0	instance_enter	s arg1, ? arg2, ? arg3, ? arg4, ? arg5	instance_enter(${1:s_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	instance_npcname	s arg1, ? arg2	instance_npcname(${1:s_arg1}, ${2:?_arg2})$0
0	instance_mapname	s arg1, ? arg2	instance_mapname(${1:s_arg1}, ${2:?_arg2})$0
0	instance_warpall	s arg1, i arg2, i arg3, ? arg4	instance_warpall(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	instance_announce	i arg1, s arg2, i arg3, ? arg4, ? arg5, ? arg6, ? arg7, ? arg8	instance_announce(${1:i_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7}, ${8:?_arg8})$0
0	instance_check_party	i arg1, ? arg2, ? arg3, ? arg4	instance_check_party(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	instance_check_guild	i arg1, ? arg2, ? arg3, ? arg4	instance_check_guild(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	instance_check_clan	i arg1, ? arg2, ? arg3, ? arg4	instance_check_clan(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	instance_info	s arg1, i arg2, ? arg3	instance_info(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	instance_live_info	i arg1, ? arg2	instance_live_info(${1:i_arg1}, ${2:?_arg2})$0
0	makerune	i arg1, ? arg2	makerune(${1:i_arg1}, ${2:?_arg2})$0
0	checkdragon	? arg1	checkdragon(${1:?_arg1})$0
0	setdragon	? arg1, ? arg2	setdragon(${1:?_arg1}, ${2:?_arg2})$0
0	ismounting	? arg1	ismounting(${1:?_arg1})$0
0	setmounting	? arg1	setmounting(${1:?_arg1})$0
0	checkre	i arg1	checkre(${1:i_arg1})$0
0	getargcount
0	getcharip	? arg1	getcharip(${1:?_arg1})$0
0	is_function	s arg1	is_function(${1:s_arg1})$0
0	get_revision
0	get_githash
0	freeloop	? arg1	freeloop(${1:?_arg1})$0
0	getrandgroupitem	i arg1, ? arg2, ? arg3, ? arg4, ? arg5	getrandgroupitem(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	cleanmap	s arg1	cleanmap(${1:s_arg1})$0
0	cleanarea	s arg1, i arg2, i arg3, i arg4, i arg5	cleanarea(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5})$0
0	npcskill	v arg1, i arg2, i arg3, i arg4	npcskill(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	consumeitem	v arg1, ? arg2	consumeitem(${1:v_arg1}, ${2:?_arg2})$0
0	delequip	i arg1, ? arg2	delequip(${1:i_arg1}, ${2:?_arg2})$0
0	breakequip	i arg1, ? arg2	breakequip(${1:i_arg1}, ${2:?_arg2})$0
0	sit	? arg1	sit(${1:?_arg1})$0
0	stand	? arg1	stand(${1:?_arg1})$0
0	bindatcmd	s arg1, s arg2, ? arg3, ? arg4	bindatcmd(${1:s_arg1}, ${2:s_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	unbindatcmd	s arg1	unbindatcmd(${1:s_arg1})$0
0	useatcmd	s arg1	useatcmd(${1:s_arg1})$0
0	questinfo	i arg1, ? arg2, ? arg3	questinfo(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	setquest	i arg1, ? arg2	setquest(${1:i_arg1}, ${2:?_arg2})$0
0	erasequest	i arg1, ? arg2	erasequest(${1:i_arg1}, ${2:?_arg2})$0
0	completequest	i arg1, ? arg2	completequest(${1:i_arg1}, ${2:?_arg2})$0
0	checkquest	i arg1, ? arg2, ? arg3	checkquest(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	isbegin_quest	i arg1, ? arg2	isbegin_quest(${1:i_arg1}, ${2:?_arg2})$0
0	changequest	i arg1, i arg2, ? arg3	changequest(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	showevent	i arg1, ? arg2, ? arg3	showevent(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	questinfo_refresh	? arg1	questinfo_refresh(${1:?_arg1})$0
0	getitembound	v arg1, i arg2, i arg3, ? arg4	getitembound(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
